,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
896,7d bot Td bot,4c mid Th bot,KdKhAh-AdAc-,KdKhAh-AdAc-7dTd,KdKhAh-AdAc4c-7dTdTh,5d 7d Td ,4c Th 4s ,23.0,29.0,23.0,23.0,23.0,23.0,29.0,23.0,23.0,0.0,21.0,5d bot 7d bot,0.35133333333333283,4c mid Th bot,0.0
897,5h bot 5s bot,4h mid Th bot,KdKhAh-AdAc-,KdKhAh-AdAc-5h5s,KdKhAh-AdAc4h-5h5sTh,5h 7h 5s ,4h Th 3s ,23.0,23.0,23.0,23.0,23.0,23.0,0.0,0.0,0.0,23.0,16.0,5h bot 5s bot,0.0,4h mid Th bot,0.0
898,Jc mid 8h bot,Jd bot 9h bot,KdKhAh-AdAc-,KdKhAh-AdAcJc-8h,KdKhAh-AdAcJc-8hJd9h,4d Jc 8h ,5d Jd 9h ,0.0,25.0,23.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,12.0,Jc bot 8h bot,1.1466666666666665,Jd bot 9h bot,0.0
899,4d bot 6d bot,9c mid Jc mid,KdKhAh-AdAc-,KdKhAh-AdAc-4d6d,KdKhAh-AdAc9cJc-4d6d,4d 6d 9d ,9c Jc Ks ,0.0,23.0,25.0,0.0,0.0,0.0,0.0,27.0,0.0,23.0,9.0,4d bot 6d bot,0.0,Jc mid Ks mid,0.08633333333333404
900,5c bot 6h bot,Qc mid 7h bot,KdKhAh-AdAc-,KdKhAh-AdAc-5c6h,KdKhAh-AdAcQc-5c6h7h,5c 6h 4s ,2d Qc 7h ,0.0,0.0,25.0,25.0,25.0,25.0,23.0,25.0,23.0,0.0,17.0,5c bot 6h bot,0.0,Qc mid 7h bot,0.0
901,6c bot 9c bot,5c bot Jc bot,KdKhAh-AdAc-,KdKhAh-AdAc-6c9c,KdKhAh-AdAc-6c9c5cJc,6c 9c 8s ,5d 5c Jc ,27.0,29.0,27.0,0.0,27.0,27.0,27.0,27.0,0.0,0.0,19.0,6c bot 9c bot,0.0,5c bot Jc bot,0.0
902,8h bot Qs bot,2c bot 4c mid,KdKhAh-AdAc-,KdKhAh-AdAc-8hQs,KdKhAh-AdAc4c-8hQs2c,Kc 8h Qs ,2c 4c 6h ,23.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,23.0,9.0,8h bot Qs bot,0.0,4c bot 6h mid,0.13133333333333308
903,8c bot Qc bot,2s mid 8s bot,KdKhAh-AdAc-,KdKhAh-AdAc-8cQc,KdKhAh-AdAc2s-8cQc8s,Td 8c Qc ,2d 2s 8s ,0.0,23.0,23.0,0.0,0.0,0.0,0.0,23.0,23.0,23.0,11.0,8c bot Qc bot,0.0,2d mid 8s bot,0.0
904,Tc bot Js bot,7s mid Qs bot,KdKhAh-AdAc-,KdKhAh-AdAc-TcJs,KdKhAh-AdAc7s-TcJsQs,2c Tc Js ,4h 7s Qs ,0.0,0.0,0.0,0.0,23.0,23.0,25.0,25.0,0.0,0.0,9.0,2c bot Tc bot,0.28999999999999915,4h mid Qs bot,0.031000000000000583
905,Jc bot 6s mid,7d bot 7c bot,KdKhAh-AdAc-,KdKhAh-AdAc6s-Jc,KdKhAh-AdAc6s-Jc7d7c,3c Jc 6s ,7d Qd 7c ,23.0,23.0,29.0,29.0,23.0,23.0,23.0,23.0,23.0,29.0,24.0,3c bot Jc bot,2.132666666666667,7d bot 7c bot,0.0
