,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
489,2h mid 4s mid,5d mid 3s top,KdKh--AdAcAh,KdKh-2h4s-AdAcAh,KdKh3s-2h4s5d-AdAcAh,9c 2h 4s ,5d 3s 7s ,0.0,23.0,0.0,0.0,0.0,0.0,33.0,0.0,25.0,0.0,8.0,2h mid 4s mid,0.0,5d mid 7s bot,0.4226666666666681
490,2h mid Jh mid,7d bot Jd mid,KdKh--AdAcAh,KdKh-2hJh-AdAcAh,KdKh-2hJhJd-AdAcAh7d,2h 9h Jh ,7d Jd Qs ,23.0,25.0,45.0,23.0,0.0,23.0,0.0,23.0,23.0,33.0,21.0,9h mid Jh mid,14.203333333333333,7d mid Jd mid,0.1663333333333341
491,Kc bot 6h mid,3d mid 6c mid,KdKh--AdAcAh,KdKh-6h-AdAcAhKc,KdKh-6h3d6c-AdAcAhKc,Kc 6h Jh ,3d 6c Js ,23.0,23.0,33.0,25.0,23.0,23.0,29.0,23.0,23.0,23.0,24.0,6h mid Jh mid,2.1759999999999984,3d mid 6c mid,0.0
492,6c mid Tc mid,7c mid As bot,KdKh--AdAcAh,KdKh-6cTc-AdAcAh,KdKh-6cTc7c-AdAcAhAs,6c 9c Tc ,7c Jc As ,0.0,41.0,0.0,37.0,0.0,0.0,0.0,0.0,33.0,0.0,11.0,9c mid Tc mid,0.9439999999999991,7c mid As bot,0.0
493,Jc mid Jh mid,5d mid 8s bot,KdKh--AdAcAh,KdKh-JcJh-AdAcAh,KdKh-JcJh5d-AdAcAh8s,7c Jc Jh ,5d 3h 8s ,23.0,25.0,33.0,23.0,23.0,25.0,29.0,0.0,25.0,31.0,23.0,Jc mid Jh mid,0.0,5d mid 3h mid,0.12533333333333374
494,Th mid Js mid,7c top 6s bot,KdKh--AdAcAh,KdKh-ThJs-AdAcAh,KdKh7c-ThJs-AdAcAh6s,5d Th Js ,3d 7c 6s ,33.0,31.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,13.0,Th mid Js mid,0.0,7c mid 6s bot,9.618666666666666
495,4d mid 5c mid,7h top 9h bot,KdKh--AdAcAh,KdKh-4d5c-AdAcAh,KdKh7h-4d5c-AdAcAh9h,4d 5c 3s ,8d 7h 9h ,0.0,0.0,25.0,0.0,0.0,25.0,0.0,23.0,23.0,33.0,12.0,4d mid 3s mid,0.08466666666666534,7h mid 9h bot,9.973666666666666
496,7h mid 7s mid,9c mid Ts bot,KdKh--AdAcAh,KdKh-7h7s-AdAcAh,KdKh-7h7s9c-AdAcAhTs,7h Qh 7s ,9c 3s Ts ,0.0,25.0,0.0,41.0,0.0,29.0,23.0,0.0,23.0,33.0,17.0,7h mid 7s mid,0.0,9c bot 3s mid,18.699333333333332
497,5d mid 5c mid,3d bot 7s mid,KdKh--AdAcAh,KdKh-5d5c-AdAcAh,KdKh-5d5c7s-AdAcAh3d,5d 5c 3s ,3d 2c 7s ,0.0,23.0,0.0,29.0,23.0,0.0,25.0,23.0,0.0,23.0,14.0,5d mid 5c mid,0.0,2c bot 7s mid,0.002666666666666373
498,Qc mid Qs mid,Qd mid Th mid,KdKh--AdAcAh,KdKh-QcQs-AdAcAh,KdKh-QcQsQdTh-AdAcAh,6c Qc Qs ,8d Qd Th ,25.0,31.0,25.0,31.0,31.0,25.0,31.0,31.0,31.0,25.0,28.0,Qc mid Qs mid,0.0,8d bot Qd mid,0.37166666666666615
499,5d mid 3c mid,6c mid Js top,KdKh--AdAcAh,KdKh-5d3c-AdAcAh,KdKhJs-5d3c6c-AdAcAh,5d Qd 3c ,Td 6c Js ,25.0,31.0,0.0,0.0,0.0,23.0,0.0,29.0,0.0,0.0,10.0,5d mid 3c mid,0.0,6c mid Js bot,0.8013333333333339
500,4d mid Jh mid,3d top 7h bot,KdKh--AdAcAh,KdKh-4dJh-AdAcAh,KdKh3d-4dJh-AdAcAh7h,4d Tc Jh ,3d 7h 8s ,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Tc mid Jh mid,0.39800000000000146,7h mid 8s top,9.161333333333333
501,8h mid Qs mid,Qh mid As bot,KdKh--AdAcAh,KdKh-8hQs-AdAcAh,KdKh-8hQsQh-AdAcAhAs,8h 5s Qs ,Qh Ks As ,33.0,33.0,0.0,33.0,0.0,33.0,33.0,33.0,33.0,35.0,26.0,5s mid Qs mid,0.520666666666667,Qh mid As bot,0.0
502,Qc mid 6h mid,9c mid 9h mid,KdKh--AdAcAh,KdKh-Qc6h-AdAcAh,KdKh-Qc6h9c9h-AdAcAh,Qc 6h Ts ,9c 5h 9h ,23.0,0.0,23.0,29.0,35.0,23.0,0.0,29.0,23.0,25.0,21.0,Qc mid Ts mid,0.591333333333333,9c mid 9h mid,0.0
503,7h mid Ts mid,Td mid Jd bot,KdKh--AdAcAh,KdKh-7hTs-AdAcAh,KdKh-7hTsTd-AdAcAhJd,7h Jh Ts ,Td Jd 4s ,0.0,0.0,25.0,23.0,23.0,29.0,31.0,29.0,23.0,23.0,20.0,Jh mid Ts mid,0.17999999999999972,Td mid Jd mid,0.29566666666666563
504,9c mid As bot,Th mid Ts mid,KdKh--AdAcAh,KdKh-9c-AdAcAhAs,KdKh-9cThTs-AdAcAhAs,Td 9c As ,5d Th Ts ,35.0,45.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,34.0,9c mid As bot,0.0,Th mid Ts mid,0.0
505,3c mid 7c mid,2h top Js bot,KdKh--AdAcAh,KdKh-3c7c-AdAcAh,KdKh2h-3c7c-AdAcAhJs,3c 7c Ks ,Kc 2h Js ,25.0,0.0,0.0,0.0,0.0,23.0,29.0,23.0,29.0,0.0,12.0,3c mid 7c mid,0.0,Kc mid Js bot,0.9959999999999987
506,9d mid 9c mid,5d mid 5c mid,KdKh--AdAcAh,KdKh-9d9c-AdAcAh,KdKh-9d9c5d5c-AdAcAh,9d 8c 9c ,5d 5c Qc ,23.0,33.0,29.0,23.0,33.0,23.0,41.0,23.0,23.0,41.0,29.0,9d mid 9c mid,0.0,5d mid 5c mid,0.0
507,8h mid Qh mid,Jh bot 8s mid,KdKh--AdAcAh,KdKh-8hQh-AdAcAh,KdKh-8hQh8s-AdAcAhJh,5h 8h Qh ,9d Jh 8s ,23.0,0.0,23.0,29.0,23.0,25.0,23.0,23.0,23.0,23.0,21.0,5h mid 8h mid,0.08933333333333415,9d mid 8s mid,0.1653333333333329
508,7d mid 9h mid,Qd bot 7c mid,KdKh--AdAcAh,KdKh-7d9h-AdAcAh,KdKh-7d9h7c-AdAcAhQd,7d 9h 6s ,Qd 7c 2s ,0.0,0.0,25.0,25.0,23.0,25.0,33.0,0.0,25.0,23.0,17.0,7d mid 6s mid,0.09800000000000075,Qd bot 7c mid,0.0
509,6c mid Tc mid,8h bot 8s bot,KdKh--AdAcAh,KdKh-6cTc-AdAcAh,KdKh-6cTc-AdAcAh8h8s,6c Tc 2s ,8h 4s 8s ,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6c mid Tc mid,0.0,8h mid 8s mid,7.377000000000001
510,5d mid 3s mid,8d top 4c mid,KdKh--AdAcAh,KdKh-5d3s-AdAcAh,KdKh8d-5d3s4c-AdAcAh,2d 5d 3s ,8d 4c Qc ,31.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,25.0,0.0,7.0,2d mid 5d mid,0.5679999999999996,8d bot 4c mid,0.8109999999999999
511,4d mid Jd mid,Tc bot 4s mid,KdKh--AdAcAh,KdKh-4dJd-AdAcAh,KdKh-4dJd4s-AdAcAhTc,4d Jd 9h ,3d Tc 4s ,33.0,23.0,31.0,23.0,0.0,29.0,33.0,23.0,0.0,29.0,22.0,4d mid Jd mid,0.0,3d mid 4s mid,0.03500000000000014
512,Jc mid Qc mid,3d bot Td mid,KdKh--AdAcAh,KdKh-JcQc-AdAcAh,KdKh-JcQcTd-AdAcAh3d,2d Jc Qc ,3d Td 9s ,25.0,0.0,25.0,33.0,31.0,33.0,0.0,29.0,25.0,0.0,20.0,Jc mid Qc mid,0.0,3d bot 9s mid,0.17366666666666752
513,4d mid 5d mid,3d mid 8d bot,KdKh--AdAcAh,KdKh-4d5d-AdAcAh,KdKh-4d5d3d-AdAcAh8d,4d 5d Ts ,3d 8d 7h ,23.0,0.0,37.0,33.0,0.0,37.0,0.0,35.0,0.0,0.0,16.0,4d mid 5d mid,0.0,3d mid 8d bot,0.0
514,9c mid 9s mid,Jc mid Jh mid,KdKh--AdAcAh,KdKh-9c9s-AdAcAh,KdKh-9c9sJcJh-AdAcAh,6d 9c 9s ,Jc 3h Jh ,29.0,23.0,41.0,29.0,23.0,23.0,29.0,41.0,23.0,23.0,28.0,9c mid 9s mid,0.0,Jc mid Jh mid,0.0
515,7c mid Qh mid,9h mid 8s bot,KdKh--AdAcAh,KdKh-7cQh-AdAcAh,KdKh-7cQh9h-AdAcAh8s,7c Qh Js ,5d 9h 8s ,0.0,29.0,25.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,10.0,Qh mid Js mid,0.5080000000000009,9h bot 8s mid,0.17133333333333312
516,2d mid As bot,9d mid 4c top,KdKh--AdAcAh,KdKh-2d-AdAcAhAs,KdKh4c-2d9d-AdAcAhAs,2d 5c As ,9d 4c 8h ,35.0,33.0,0.0,33.0,33.0,35.0,0.0,41.0,0.0,0.0,21.0,5c mid As bot,1.1739999999999995,9d mid 4c mid,0.45266666666666566
517,5c mid As bot,6d mid 7d top,KdKh--AdAcAh,KdKh-5c-AdAcAhAs,KdKh7d-5c6d-AdAcAhAs,5c Jh As ,6d 7d 3s ,33.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,0.0,33.0,16.0,5c mid As bot,0.0,6d mid 7d mid,7.291333333333332
518,Qd mid As bot,Th mid Qs mid,KdKh--AdAcAh,KdKh-Qd-AdAcAhAs,KdKh-QdThQs-AdAcAhAs,4d Qd As ,Th Qs Ks ,33.0,0.0,33.0,0.0,35.0,33.0,35.0,45.0,45.0,35.0,29.0,4d mid As bot,0.19533333333333402,Th mid Qs mid,0.0
519,5c mid Ks bot,8d top 2s mid,KdKh--AdAcAh,KdKh-5c-AdAcAhKs,KdKh8d-5c2s-AdAcAhKs,5c Qc Ks ,8d 2s 9s ,23.0,0.0,0.0,29.0,0.0,25.0,0.0,0.0,23.0,0.0,10.0,5c mid Qc mid,2.5280000000000005,8d mid 9s mid,1.4786666666666664
520,6h mid Th mid,3d bot 8d top,KdKh--AdAcAh,KdKh-6hTh-AdAcAh,KdKh8d-6hTh-AdAcAh3d,6h Th 8s ,3d 8d 5c ,0.0,35.0,23.0,25.0,0.0,0.0,33.0,0.0,0.0,0.0,11.0,6h mid 8s mid,0.06733333333333213,3d bot 8d mid,9.702666666666667
521,5h top Th mid,5d mid 5c mid,KdKh--AdAcAh,KdKh5h-Th-AdAcAh,KdKh5h-Th5d5c-AdAcAh,3d 5h Th ,5d 5c 3h ,45.0,23.0,23.0,23.0,23.0,0.0,0.0,29.0,23.0,0.0,18.0,3d mid 5h mid,14.083333333333334,5d mid 5c mid,0.0
522,7c mid Tc mid,7s mid 9s top,KdKh--AdAcAh,KdKh-7cTc-AdAcAh,KdKh9s-7cTc7s-AdAcAh,7c Tc Qh ,6s 7s 9s ,23.0,0.0,23.0,23.0,33.0,23.0,25.0,23.0,29.0,23.0,22.0,7c mid Tc mid,0.0,7s mid 9s mid,0.4096666666666664
523,6d mid 8c bot,9c mid Qh bot,KdKh--AdAcAh,KdKh-6d-AdAcAh8c,KdKh-6d9c-AdAcAh8cQh,6d 8c Js ,4d 9c Qh ,0.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,6.0,6d mid 8c mid,14.025333333333334,9c mid Qh mid,1.7030000000000003
524,5h mid 6s mid,Qh mid Qs mid,KdKh--AdAcAh,KdKh-5h6s-AdAcAh,KdKh-5h6sQhQs-AdAcAh,4h 5h 6s ,Qc Qh Qs ,0.0,29.0,0.0,0.0,0.0,29.0,0.0,23.0,25.0,0.0,10.0,4h mid 5h mid,0.2913333333333341,Qh mid Qs mid,0.0
525,Td bot 8h mid,4d mid 8s mid,KdKh--AdAcAh,KdKh-8h-AdAcAhTd,KdKh-8h4d8s-AdAcAhTd,Td 4c 8h ,4d 9c 8s ,33.0,23.0,0.0,23.0,25.0,0.0,23.0,25.0,41.0,29.0,22.0,Td mid 8h mid,13.796,4d mid 8s mid,0.0
526,4d mid 4c mid,3h bot Qh mid,KdKh--AdAcAh,KdKh-4d4c-AdAcAh,KdKh-4d4cQh-AdAcAh3h,4d 4c 9c ,3h Qh Ts ,29.0,25.0,25.0,23.0,23.0,25.0,23.0,29.0,23.0,0.0,22.0,4d mid 4c mid,0.0,3h bot Qh mid,0.0
527,8c mid Qh mid,5c top 6c bot,KdKh--AdAcAh,KdKh-8cQh-AdAcAh,KdKh5c-8cQh-AdAcAh6c,8c Qh 5s ,5c 6c 7s ,0.0,23.0,0.0,29.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,8c mid 5s mid,0.08000000000000007,5c mid 6c top,1.29
528,5c mid 5s mid,5d mid 6h bot,KdKh--AdAcAh,KdKh-5c5s-AdAcAh,KdKh-5c5s5d-AdAcAh6h,5c 5s Ks ,5d Jd 6h ,31.0,31.0,25.0,45.0,25.0,25.0,25.0,31.0,25.0,25.0,28.0,5c mid 5s mid,0.0,5d mid 6h bot,0.0
529,Jd mid 8h mid,5h top Qs bot,KdKh--AdAcAh,KdKh-Jd8h-AdAcAh,KdKh5h-Jd8h-AdAcAhQs,Jd 2h 8h ,5h 3s Qs ,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Jd mid 8h mid,0.0,3s bot Qs mid,9.478333333333333
530,2c mid 7s mid,Qh top 5s bot,KdKh--AdAcAh,KdKh-2c7s-AdAcAh,KdKhQh-2c7s-AdAcAh5s,9d 2c 7s ,6h Qh 5s ,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9d mid 7s mid,0.41133333333333333,6h bot 5s mid,9.233333333333333
531,6c mid 6s mid,4d mid 8s top,KdKh--AdAcAh,KdKh-6c6s-AdAcAh,KdKh8s-6c6s4d-AdAcAh,Jd 6c 6s ,4d Td 8s ,23.0,0.0,23.0,23.0,31.0,23.0,29.0,23.0,0.0,25.0,20.0,6c mid 6s mid,0.0,4d mid Td mid,0.6556666666666686
532,Qd mid Qs mid,5c mid 5h mid,KdKh--AdAcAh,KdKh-QdQs-AdAcAh,KdKh-QdQs5c5h-AdAcAh,Qd Jc Qs ,2c 5c 5h ,33.0,23.0,33.0,23.0,23.0,23.0,29.0,23.0,33.0,23.0,26.0,Qd mid Qs mid,0.0,5c mid 5h mid,0.0
533,4h mid Js mid,4d mid Qc top,KdKh--AdAcAh,KdKh-4hJs-AdAcAh,KdKhQc-4hJs4d-AdAcAh,7d 4h Js ,4d Qc 5s ,31.0,23.0,25.0,25.0,0.0,0.0,0.0,0.0,23.0,23.0,15.0,7d mid 4h mid,0.2053333333333338,4d mid 5s mid,0.3880000000000017
534,Qh mid 4s bot,Qd mid 8h mid,KdKh--AdAcAh,KdKh-Qh-AdAcAh4s,KdKh-QhQd8h-AdAcAh4s,Qh 4s 7s ,Qd 8c 8h ,23.0,29.0,35.0,23.0,31.0,0.0,0.0,23.0,0.0,31.0,19.0,4s mid 7s mid,2.1373333333333324,Qd mid 8c mid,0.0
535,4d mid 4c mid,Ts bot Qs mid,KdKh--AdAcAh,KdKh-4d4c-AdAcAh,KdKh-4d4cQs-AdAcAhTs,4d 4c 5c ,Ts Qs Ks ,25.0,25.0,41.0,0.0,23.0,0.0,31.0,35.0,29.0,0.0,20.0,4d mid 4c mid,0.0,Ts mid Qs mid,0.14633333333333454
536,3d mid Td mid,8c mid 8s mid,KdKh--AdAcAh,KdKh-3dTd-AdAcAh,KdKh-3dTd8c8s-AdAcAh,3d 4d Td ,8c 6h 8s ,0.0,29.0,29.0,25.0,25.0,29.0,29.0,25.0,0.0,0.0,19.0,3d mid 4d mid,0.3613333333333326,8c mid 8s mid,0.0
537,2h mid Qh mid,9h mid 3s bot,KdKh--AdAcAh,KdKh-2hQh-AdAcAh,KdKh-2hQh9h-AdAcAh3s,8c 2h Qh ,6d 9h 3s ,0.0,23.0,0.0,0.0,37.0,33.0,0.0,0.0,29.0,0.0,12.0,2h mid Qh mid,0.0,9h mid 3s bot,0.0
538,7d mid Jc mid,3c mid 5h bot,KdKh--AdAcAh,KdKh-7dJc-AdAcAh,KdKh-7dJc3c-AdAcAh5h,7d Jc Kc ,3c 5h 2s ,23.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,29.0,33.0,13.0,7d mid Jc mid,0.0,3c bot 5h mid,8.957666666666666
539,9d mid Ts bot,9c mid As bot,KdKh--AdAcAh,KdKh-9d-AdAcAhTs,KdKh-9d9c-AdAcAhTsAs,9d 7c Ts ,5c 9c As ,33.0,0.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0,23.0,9d mid Ts mid,14.016666666666667,9c mid As bot,0.0
540,7d mid As bot,5d mid 2c bot,KdKh--AdAcAh,KdKh-7d-AdAcAhAs,KdKh-7d5d-AdAcAhAs2c,7d 8s As ,5d 2c Qc ,33.0,0.0,41.0,0.0,33.0,0.0,35.0,35.0,0.0,41.0,21.0,8s mid As bot,0.6386666666666656,5d mid 2c top,0.12233333333333363
541,7c mid Jc mid,9c top 7h mid,KdKh--AdAcAh,KdKh-7cJc-AdAcAh,KdKh9c-7cJc7h-AdAcAh,7c Jc 4h ,9c 7h Ks ,29.0,23.0,23.0,31.0,23.0,29.0,23.0,23.0,23.0,33.0,26.0,7c mid Jc mid,0.0,9c bot 7h mid,0.49533333333333474
542,5d mid 5h mid,3c mid 2s top,KdKh--AdAcAh,KdKh-5d5h-AdAcAh,KdKh2s-5d5h3c-AdAcAh,5d 5h Ts ,3c 8c 2s ,23.0,25.0,23.0,41.0,41.0,23.0,25.0,23.0,31.0,25.0,28.0,5d mid 5h mid,0.0,3c bot 8c mid,0.6380000000000017
543,3c bot Tc mid,Th mid 4s mid,KdKh--AdAcAh,KdKh-Tc-AdAcAh3c,KdKh-TcTh4s-AdAcAh3c,4d 3c Tc ,9d Th 4s ,23.0,23.0,23.0,29.0,25.0,31.0,0.0,29.0,0.0,29.0,21.0,3c mid Tc mid,2.190666666666665,9d mid Th mid,0.129999999999999
544,5c mid 9s mid,2c mid 2h mid,KdKh--AdAcAh,KdKh-5c9s-AdAcAh,KdKh-5c9s2c2h-AdAcAh,5c Qh 9s ,2c 2h Ts ,0.0,31.0,23.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,10.0,Qh mid 9s mid,0.5600000000000005,2c mid 2h mid,0.0
545,Tc mid Jc mid,Qc bot Ts mid,KdKh--AdAcAh,KdKh-TcJc-AdAcAh,KdKh-TcJcTs-AdAcAhQc,Tc Jc Ks ,4c Qc Ts ,23.0,0.0,23.0,0.0,23.0,23.0,25.0,29.0,23.0,0.0,16.0,Tc mid Jc mid,0.0,4c mid Ts mid,0.17800000000000082
546,7c mid 9h mid,Qc bot Js top,KdKh--AdAcAh,KdKh-7c9h-AdAcAh,KdKhJs-7c9h-AdAcAhQc,2d 7c 9h ,6c Qc Js ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,25.0,5.0,7c mid 9h mid,0.0,6c mid Js bot,10.287666666666667
547,5h mid Ts mid,9d bot 3s top,KdKh--AdAcAh,KdKh-5hTs-AdAcAh,KdKh3s-5hTs-AdAcAh9d,5h Ts Qs ,8d 9d 3s ,25.0,0.0,0.0,25.0,23.0,0.0,0.0,23.0,0.0,0.0,9.0,Ts mid Qs mid,0.9653333333333336,8d mid 3s bot,9.158333333333333
548,6d mid As bot,2d mid 5d mid,KdKh--AdAcAh,KdKh-6d-AdAcAhAs,KdKh-6d2d5d-AdAcAhAs,6d Js As ,2d 5d 4h ,33.0,0.0,0.0,41.0,0.0,33.0,0.0,37.0,35.0,0.0,17.0,6d mid As bot,0.0,5d mid 4h mid,0.013999999999999346
549,5s bot 6s mid,5h bot 8s mid,KdKh--AdAcAh,KdKh-6s-AdAcAh5s,KdKh-6s8s-AdAcAh5s5h,Qh 5s 6s ,Jc 5h 8s ,29.0,37.0,31.0,31.0,37.0,37.0,29.0,0.0,29.0,0.0,26.0,5s mid 6s mid,2.742000000000001,5h bot 8s mid,0.0
550,9d mid 5h mid,6h mid Ts bot,KdKh--AdAcAh,KdKh-9d5h-AdAcAh,KdKh-9d5h6h-AdAcAhTs,9d 5h Th ,7d 6h Ts ,25.0,23.0,23.0,31.0,0.0,0.0,33.0,0.0,23.0,35.0,19.0,5h mid Th mid,13.981333333333334,7d mid Ts bot,0.08699999999999974
551,6c mid 2s mid,5h mid 5s mid,KdKh--AdAcAh,KdKh-6c2s-AdAcAh,KdKh-6c2s5h5s-AdAcAh,Qd 6c 2s ,5h 5s Js ,31.0,23.0,29.0,0.0,25.0,0.0,29.0,0.0,29.0,23.0,18.0,Qd mid 2s mid,0.033333333333333215,5h mid 5s mid,0.0
552,7d mid 8d mid,3d bot 9d mid,KdKh--AdAcAh,KdKh-7d8d-AdAcAh,KdKh-7d8d9d-AdAcAh3d,7d 8d Qs ,3d 9d 4h ,0.0,33.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,33.0,9.0,7d mid 8d mid,0.0,9d mid 4h bot,0.20466666666666633
553,Jd mid 8c mid,2c bot 9c mid,KdKh--AdAcAh,KdKh-Jd8c-AdAcAh,KdKh-Jd8c9c-AdAcAh2c,Jd 8c Ks ,2c 7c 9c ,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,Jd mid 8c mid,0.0,2c bot 9c mid,0.0
554,4d mid 6c mid,3c top 5c mid,KdKh--AdAcAh,KdKh-4d6c-AdAcAh,KdKh3c-4d6c5c-AdAcAh,4d 6c Qh ,8d 3c 5c ,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4d mid 6c mid,0.0,8d bot 5c mid,0.47233333333333327
555,Tc mid 6s mid,Jh mid 3s bot,KdKh--AdAcAh,KdKh-Tc6s-AdAcAh,KdKh-Tc6sJh-AdAcAh3s,Tc 6s Ks ,Jh 3s 4s ,23.0,0.0,0.0,0.0,0.0,25.0,29.0,23.0,0.0,33.0,13.0,Tc mid 6s mid,0.0,Jh bot 3s mid,0.10633333333333361
556,Qc mid Qh mid,5h mid Ts top,KdKh--AdAcAh,KdKh-QcQh-AdAcAh,KdKhTs-QcQh5h-AdAcAh,3d Qc Qh ,5h 2s Ts ,23.0,23.0,23.0,0.0,25.0,25.0,0.0,31.0,25.0,23.0,19.0,Qc mid Qh mid,0.0,5h mid Ts mid,0.2443333333333335
557,7c mid Qc mid,7d mid Qd mid,KdKh--AdAcAh,KdKh-7cQc-AdAcAh,KdKh-7cQc7dQd-AdAcAh,7c Qc Th ,6d 7d Qd ,23.0,41.0,23.0,41.0,29.0,41.0,29.0,29.0,29.0,29.0,31.0,7c mid Qc mid,0.0,7d mid Qd mid,0.0
558,2s mid 3s mid,5h bot 4s mid,KdKh--AdAcAh,KdKh-2s3s-AdAcAh,KdKh-2s3s4s-AdAcAh5h,6d 2s 3s ,8c 5h 4s ,23.0,0.0,0.0,0.0,25.0,0.0,23.0,0.0,23.0,0.0,9.0,2s mid 3s mid,0.0,5h bot 4s mid,0.0
559,3d mid 7h mid,Td bot 2c mid,KdKh--AdAcAh,KdKh-3d7h-AdAcAh,KdKh-3d7h2c-AdAcAhTd,3d Qc 7h ,Td 2c 6c ,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3d mid 7h mid,0.0,Td bot 6c mid,0.6193333333333317
560,2d mid 3s mid,2h mid Qs top,KdKh--AdAcAh,KdKh-2d3s-AdAcAh,KdKhQs-2d3s2h-AdAcAh,2d 7c 3s ,2h 5h Qs ,0.0,0.0,31.0,0.0,23.0,31.0,23.0,23.0,33.0,0.0,16.0,2d mid 3s mid,0.0,2h mid Qs bot,0.46866666666666745
561,Tc mid 9h mid,2h bot Th mid,KdKh--AdAcAh,KdKh-Tc9h-AdAcAh,KdKh-Tc9hTh-AdAcAh2h,Tc 8h 9h ,2h 4h Th ,41.0,0.0,29.0,23.0,23.0,29.0,25.0,23.0,29.0,29.0,25.0,8h mid 9h mid,0.47666666666666657,4h bot Th mid,0.028666666666666174
562,Th mid Qh mid,8h mid 8s mid,KdKh--AdAcAh,KdKh-ThQh-AdAcAh,KdKh-ThQh8h8s-AdAcAh,Th Qh 3s ,6c 8h 8s ,23.0,25.0,25.0,0.0,25.0,23.0,29.0,0.0,0.0,0.0,15.0,Th mid Qh mid,0.0,8h mid 8s mid,0.0
563,Jd mid 4h mid,7s bot Qs top,KdKh--AdAcAh,KdKh-Jd4h-AdAcAh,KdKhQs-Jd4h-AdAcAh7s,Jd 4h 6h ,3h 7s Qs ,0.0,23.0,25.0,25.0,23.0,0.0,25.0,25.0,0.0,23.0,16.0,4h mid 6h mid,0.5986666666666665,7s mid Qs bot,1.7856666666666667
564,Tc mid Js mid,8c bot Ts mid,KdKh--AdAcAh,KdKh-TcJs-AdAcAh,KdKh-TcJsTs-AdAcAh8c,6c Tc Js ,8c Kc Ts ,23.0,0.0,0.0,23.0,31.0,23.0,31.0,23.0,23.0,23.0,20.0,6c mid Tc mid,0.10400000000000098,8c bot Ts mid,0.0
565,Jh mid Ts mid,4c top 6h bot,KdKh--AdAcAh,KdKh-JhTs-AdAcAh,KdKh4c-JhTs-AdAcAh6h,7d Jh Ts ,3d 4c 6h ,23.0,0.0,0.0,0.0,23.0,29.0,0.0,25.0,0.0,0.0,10.0,Jh mid Ts mid,0.0,4c mid 6h bot,9.077
566,3c mid As bot,7c mid 5h mid,KdKh--AdAcAh,KdKh-3c-AdAcAhAs,KdKh-3c7c5h-AdAcAhAs,3c Ts As ,2d 7c 5h ,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,33.0,10.0,Ts mid As bot,0.7880000000000003,2d mid 5h mid,0.10299999999999976
567,4d mid 2c mid,8c bot Js top,KdKh--AdAcAh,KdKh-4d2c-AdAcAh,KdKhJs-4d2c-AdAcAh8c,4d 2c 8s ,8c 5h Js ,0.0,0.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4d mid 2c mid,0.0,8c bot 5h mid,9.555666666666667
568,6h mid 6s mid,Qd mid Tc top,KdKh--AdAcAh,KdKh-6h6s-AdAcAh,KdKhTc-6h6sQd-AdAcAh,6h 6s Ts ,Qd Tc 7s ,23.0,25.0,23.0,0.0,0.0,23.0,23.0,31.0,0.0,25.0,17.0,6h mid 6s mid,0.0,Qd mid 7s mid,0.5663333333333362
569,3h mid 8s mid,4c mid Qc bot,KdKh--AdAcAh,KdKh-3h8s-AdAcAh,KdKh-3h8s4c-AdAcAhQc,2d 3h 8s ,4c Qc Th ,0.0,23.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,2d mid 8s mid,0.16133333333333333,Qc mid Th bot,0.1033333333333335
