,Decision_0,Decision_1,Hand_0,Hand_1,Hand_2,Pull_0,Pull_1,solver_ev_0,solver_ev_1,solver_ev_2,solver_ev_3,solver_ev_4,solver_ev_5,solver_ev_6,solver_ev_7,solver_ev_8,solver_ev_9,solver_ev_avg,ResolvedDecision_0,ResolvedDecision_ev_0,ResolvedDecision_1,ResolvedDecision_ev_1
356,5d mid Tc top,8h mid 6s bot,KdKh--AdAcAh,KdKhTc-5d-AdAcAh,KdKhTc-5d8h-AdAcAh6s,5d Tc Kc ,Jc 8h 6s ,29.0,23.0,0.0,0.0,0.0,23.0,0.0,33.0,0.0,23.0,13.0,5d mid Tc mid,1.2573333333333334,8h mid 6s mid,1.3840000000000003
357,2d mid Qc bot,8d mid 9s top,KdKh--AdAcAh,KdKh-2d-AdAcAhQc,KdKh9s-2d8d-AdAcAhQc,2d Qc Th ,8d 9s Qs ,29.0,0.0,23.0,23.0,23.0,0.0,23.0,0.0,23.0,23.0,16.0,Qc mid Th mid,2.165333333333333,8d mid Qs bot,2.596333333333333
358,7d mid As bot,6c mid 5h mid,KdKh--AdAcAh,KdKh-7d-AdAcAhAs,KdKh-7d6c5h-AdAcAhAs,7d 3s As ,2c 6c 5h ,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,37.0,0.0,7.0,7d mid As bot,0.0,6c mid 5h mid,0.0
359,Jd mid Qc mid,3c bot Qh mid,KdKh--AdAcAh,KdKh-JdQc-AdAcAh,KdKh-JdQcQh-AdAcAh3c,Jd Qc 5h ,6d 3c Qh ,0.0,0.0,23.0,23.0,23.0,29.0,23.0,25.0,0.0,33.0,17.0,Jd mid Qc mid,0.0,6d mid Qh mid,0.48033333333333417
360,8d mid 7s mid,Qc bot 2h top,KdKh--AdAcAh,KdKh-8d7s-AdAcAh,KdKh2h-8d7s-AdAcAhQc,8d 2s 7s ,Qc 2h 3h ,23.0,0.0,0.0,0.0,23.0,29.0,0.0,0.0,0.0,0.0,7.0,8d mid 7s mid,0.0,Qc mid 3h bot,0.7576666666666654
361,Qd mid Qs mid,Qh mid 8s mid,KdKh--AdAcAh,KdKh-QdQs-AdAcAh,KdKh-QdQsQh8s-AdAcAh,Qd Qs As ,Qh 2s 8s ,41.0,25.0,25.0,31.0,41.0,31.0,25.0,31.0,41.0,25.0,31.0,Qd mid Qs mid,0.0,Qh mid 8s bot,0.49099999999999966
362,3d mid Js mid,3c mid 5c bot,KdKh--AdAcAh,KdKh-3dJs-AdAcAh,KdKh-3dJs3c-AdAcAh5c,3d 8c Js ,3c 5c 2s ,23.0,33.0,0.0,25.0,29.0,0.0,25.0,25.0,23.0,0.0,18.0,8c mid Js mid,0.5146666666666668,3c mid 5c mid,0.19566666666666777
363,5d mid Ks mid,8d top 4c bot,KdKh--AdAcAh,KdKh-5dKs-AdAcAh,KdKh8d-5dKs-AdAcAh4c,5d Jd Ks ,8d 4c 9s ,0.0,0.0,0.0,0.0,0.0,23.0,0.0,29.0,29.0,0.0,8.0,5d mid Jd mid,3.2173333333333343,8d mid 4c bot,7.357
364,7d mid 3s mid,Qd bot 3c mid,KdKh--AdAcAh,KdKh-7d3s-AdAcAh,KdKh-7d3s3c-AdAcAhQd,7d 6c 3s ,Qd 3c Qc ,0.0,31.0,23.0,0.0,25.0,23.0,25.0,23.0,23.0,0.0,17.0,7d mid 6c mid,0.15266666666666673,3c mid Qc bot,0.0
365,2d mid 8d mid,Qd mid 9h bot,KdKh--AdAcAh,KdKh-2d8d-AdAcAh,KdKh-2d8dQd-AdAcAh9h,2d 8d Kc ,Qd 9h 4s ,0.0,23.0,0.0,37.0,0.0,35.0,0.0,0.0,0.0,29.0,12.0,2d mid 8d mid,0.0,Qd mid 9h bot,0.0
366,7c mid As bot,Jd mid 7s mid,KdKh--AdAcAh,KdKh-7c-AdAcAhAs,KdKh-7cJd7s-AdAcAhAs,4d 7c As ,8d Jd 7s ,33.0,33.0,33.0,0.0,33.0,0.0,45.0,35.0,35.0,33.0,28.0,7c mid As bot,0.0,Jd mid 7s mid,0.0
367,4d mid 9c bot,5c mid 7s mid,KdKh--AdAcAh,KdKh-4d-AdAcAh9c,KdKh-4d5c7s-AdAcAh9c,4d 9c Ks ,5c 2s 7s ,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,11.0,4d mid 9c mid,1.8793333333333333,5c mid 7s mid,0.0
368,4d mid Jd mid,2d top 4h mid,KdKh--AdAcAh,KdKh-4dJd-AdAcAh,KdKh2d-4dJd4h-AdAcAh,4d Jd 8c ,2d 4h 8h ,0.0,33.0,23.0,23.0,29.0,23.0,29.0,29.0,0.0,0.0,18.0,4d mid Jd mid,0.0,4h mid 8h mid,0.5173333333333368
369,3d bot Ts mid,7d mid Qs top,KdKh--AdAcAh,KdKh-Ts-AdAcAh3d,KdKhQs-Ts7d-AdAcAh3d,3d Kc Ts ,7d 2h Qs ,23.0,0.0,0.0,25.0,31.0,0.0,25.0,33.0,0.0,23.0,16.0,3d mid Ts mid,1.6566666666666663,7d mid 2h mid,1.070666666666666
